Symbol,Description,Entrez ID,Chromosome,logFC,AveExpr,P,P (adj.)
MELK,maternal embryonic leucine zipper kinase,9833,9,0.5252,4.743,0.0002987,0.02535
PPP1R8,protein phosphatase 1 regulatory subunit 8,5511,1,0.156,4.859,0.0002994,0.02535
HIST1H2BK,"histone cluster 1, H2bk",85236,6,0.3305,6.014,0.0002903,0.0252
RIN3,Ras and Rab interactor 3,79890,14,-0.3285,3.954,0.0003179,0.02594
ETS2,"ETS proto-oncogene 2, transcription factor",2114,21,-0.3933,7.179,0.0002786,0.02464
PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent 1D",8493,17,0.2135,5.256,0.000304,0.02544
AFF4,AF4/FMR2 family member 4,27125,5,-0.1737,7.924,0.0002729,0.02439
RFWD3,ring finger and WD repeat domain 3,55159,16,0.2619,5.638,0.0003023,0.02544
POC1A,POC1 centriolar protein A,25886,3,0.4209,2.905,0.000338,0.02603
KLRC2,killer cell lectin like receptor C2,3822,12,0.9042,-0.2795,0.0002777,0.02464
TROAP,trophinin associated protein,10024,12,0.4881,3.771,0.0003314,0.02603
ITGA10,integrin subunit alpha 10,8515,1,-0.5376,2.42,0.0003399,0.02604
USHBP1,Usher syndrome 1C binding protein 1,83878,19,-0.4705,-0.757,0.00026,0.02409
PIGM,phosphatidylinositol glycan anchor biosynthesis class M,93183,1,0.3071,4.721,0.0003197,0.02601
RIBC2,RIB43A domain with coiled-coils 2,26150,22,0.5517,1.478,0.0003315,0.02603
CDC20,cell division cycle 20,991,1,0.5618,3.906,0.0003337,0.02603
DUSP6,dual specificity phosphatase 6,1848,12,-0.5261,4.916,0.0003231,0.02603
NABP2,nucleic acid binding protein 2,79035,12,0.1892,4.169,0.0003332,0.02603
CEP55,centrosomal protein 55kDa,55165,10,0.4696,4.098,0.0003337,0.02603
MKI67,marker of proliferation Ki-67,4288,10,0.4456,9.39,0.0002656,0.02423
RMDN2,regulator of microtubule dynamics 2,151393,2,-0.3353,3.093,0.0003465,0.0262
DUSP12,dual specificity phosphatase 12,11266,1,0.2968,4.102,0.000337,0.02603
BRIP1,BRCA1 interacting protein C-terminal helicase 1,83990,17,0.4216,5.94,0.0003119,0.02569
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,3181,7,0.1815,9.516,0.0002674,0.02431
LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated",23658,7,0.2831,3.077,0.000353,0.0262
EXD1,exonuclease 3'-5' domain containing 1,161829,15,0.7411,-4.534,0.0003231,0.02603
TBC1D10A,TBC1 domain family member 10A,83874,22,-0.2846,2.764,0.0003551,0.02629
LRRC32,leucine rich repeat containing 32,2615,11,-0.5413,3.589,0.0003498,0.0262
SH3RF2,SH3 domain containing ring finger 2,153769,5,-0.8856,2.356,0.000358,0.02635
YAP1,Yes associated protein 1,10413,11,-0.3019,7.039,0.0003052,0.02544
PRICKLE2,prickle planar cell polarity protein 2,166336,3,-0.4948,4.4,0.0003421,0.02609
EIF2AK1,eukaryotic translation initiation factor 2 alpha kinase 1,27102,7,0.2265,7.722,0.0002977,0.02535
CKAP2L,cytoskeleton associated protein 2 like,150468,2,0.4658,3.876,0.000352,0.0262
PHLDA1,pleckstrin homology like domain family A member 1,22822,12,-0.6501,5.769,0.0003277,0.02603
RNF152,ring finger protein 152,220441,18,-0.506,0.6873,0.0003339,0.02603
PSENEN,presenilin enhancer gamma secretase subunit,55851,19,0.285,5.404,0.0003343,0.02603
DCAF8,DDB1 and CUL4 associated factor 8,50717,1,0.2238,6.271,0.0003241,0.02603
NEUROD1,neuronal differentiation 1,4760,2,0.6113,-5.913,0.0003727,0.02697
TPST1,tyrosylprotein sulfotransferase 1,8460,7,-0.4007,4.761,0.0003485,0.0262
KIF18B,kinesin family member 18B,146909,17,0.5057,3.012,0.0003724,0.02697
HIST1H2BF,"histone cluster 1, H2bf",8343,6,0.4236,5.741,0.0003355,0.02603
PEAR1,platelet endothelial aggregation receptor 1,375033,1,-0.4146,2.227,0.0003744,0.02703
SPRED1,"sprouty related, EVH1 domain containing 1",161742,15,-0.3929,6.511,0.0003279,0.02603
SLBP,stem-loop binding protein,7884,4,0.278,5.495,0.0003426,0.02609
NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,4706,16,0.2404,4.453,0.0003599,0.02636
FGD5-AS1,FGD5 antisense RNA 1,100505641,3,0.2692,3.27,0.0003769,0.02706
SENP2,SUMO1/sentrin/SMT3 specific peptidase 2,59343,3,0.2244,5.932,0.0003388,0.02603
GALNT15,polypeptide N-acetylgalactosaminyltransferase 15,117248,3,-0.831,0.6048,0.0003497,0.0262
NCAPD2,non-SMC condensin I complex subunit D2,9918,12,0.3071,7.147,0.0003264,0.02603
DHX9,DEAH-box helicase 9,1660,1,0.1777,8.781,0.0003038,0.02544
LURAP1L,leucine rich adaptor protein 1-like,286343,9,-0.4579,1.754,0.0003854,0.02715
NAA11,"N(alpha)-acetyltransferase 11, NatA catalytic subunit",84779,4,1.08,-5.379,0.0003892,0.02727
RSRC1,arginine/serine-rich coiled-coil 1,51319,3,0.2252,5.06,0.0003628,0.02648
NCAPD3,non-SMC condensin II complex subunit D3,23310,11,0.2506,5.915,0.0003528,0.0262
FOXC2,forkhead box C2,2303,16,-0.9697,1.911,0.0003953,0.02761
ELMSAN1,ELM2 and Myb/SANT-like domain containing 1,91748,14,-0.2031,5.666,0.0003572,0.02635
PARPBP,PARP1 binding protein,55010,12,0.3853,4.017,0.0003836,0.02715
JAG2,jagged 2,3714,14,-0.4589,5.29,0.0003661,0.02665
HIST2H2BE,"histone cluster 2, H2be",8349,1,0.4052,7.501,0.0003352,0.02603
CCDC59,coiled-coil domain containing 59,29080,12,0.2092,4.526,0.000384,0.02715
C18orf21,chromosome 18 open reading frame 21,83608,18,0.2441,3.436,0.0004024,0.02782
HIST1H4A,"histone cluster 1, H4a",8359,6,0.4179,2.045,0.0004076,0.02786
C9orf116,chromosome 9 open reading frame 116,138162,9,0.5011,-0.3652,0.0003378,0.02603
GGH,gamma-glutamyl hydrolase,8836,8,0.5671,3.482,0.0004036,0.02784
CCSAP,"centriole, cilia and spindle associated protein",126731,1,0.3249,2.987,0.0004177,0.02836
FOXN4,forkhead box N4,121643,12,1.276,-4.058,0.0003525,0.0262
DNA2,DNA replication helicase/nuclease 2,1763,10,0.33,4.314,0.0004013,0.02782
ATAD2,"ATPase family, AAA domain containing 2",29028,8,0.369,6.829,0.0003601,0.02636
MTMR4,myotubularin related protein 4,9110,17,0.2517,5.935,0.0003765,0.02706
ESCO2,establishment of sister chromatid cohesion N-acetyltransferase 2,157570,8,0.4434,3.405,0.0004201,0.02845
CD93,CD93 molecule,22918,20,-0.426,4.104,0.0004114,0.02801
SKI,SKI proto-oncogene,6497,1,-0.2432,5.907,0.0003797,0.02709
SHROOM4,shroom family member 4,57477,X,-0.4261,6.167,0.0003792,0.02709
SCARF1,scavenger receptor class F member 1,8578,17,-0.3769,1.876,0.000433,0.02897
PDLIM4,PDZ and LIM domain 4,8572,5,-0.6706,2.188,0.0004362,0.02897
NAB2,NGFI-A binding protein 2,4665,12,-0.3042,2.763,0.0004413,0.02897
H2AFZ,H2A histone family member Z,3015,4,0.3089,4.978,0.0004083,0.02786
SNED1,"sushi, nidogen and EGF like domains 1",25992,2,-0.6327,3.073,0.0004415,0.02897
HMGN1,high mobility group nucleosome binding domain 1,3150,21,0.271,6.631,0.0003804,0.02709
CCNE1,cyclin E1,898,19,0.5984,3.518,0.0004361,0.02897
CENPK,centromere protein K,64105,5,0.3902,2.948,0.0004454,0.02899
HPGDS,hematopoietic prostaglandin D synthase,27306,4,-0.6275,0.2668,0.0003963,0.02761
GGT5,gamma-glutamyltransferase 5,2687,22,-0.6255,3.215,0.0004457,0.02899
LOC148709,actin pseudogene,148709,1,0.7991,-2.658,3.00E-04,0.02535
CCNF,cyclin F,899,16,0.3787,4.048,0.0004382,0.02897
SAMD4A,sterile alpha motif domain containing 4A,23034,14,-0.4659,4.704,0.0004277,0.02881
NCAPG2,non-SMC condensin II complex subunit G2,54892,7,0.3486,5.72,0.0004077,0.02786
TTBK1,tau tubulin kinase 1,84630,6,0.7233,-2.412,0.0003079,0.02544
KIF18A,kinesin family member 18A,81930,11,0.4312,4.093,0.000442,0.02897
PSMC3IP,PSMC3 interacting protein,29893,17,0.33,4.29,0.0004401,0.02897
TNS1,tensin 1,7145,2,-0.5686,6.961,0.0003972,0.02761
S100A3,S100 calcium binding protein A3,6274,1,-0.9323,-1.564,0.0003442,0.02614
USP21,ubiquitin specific peptidase 21,27005,1,0.3275,4.645,0.0004433,0.02898
IGFBP7,insulin like growth factor binding protein 7,3490,4,-0.5075,7.8,0.0003848,0.02715
LOXL1,lysyl oxidase like 1,4016,15,-0.5706,3.54,0.0004719,0.03021
ZFP3,ZFP3 zinc finger protein,124961,17,-0.5531,3.004,0.0004788,0.03031
ACOD1,aconitate decarboxylase 1,730249,13,0.7299,-5.049,0.0004726,0.03021
CXCL9,C-X-C motif chemokine ligand 9,4283,4,1.294,2.746,0.0004848,0.03054
NTAN1,N-terminal asparagine amidase,123803,16,0.342,5.417,0.0004398,0.02897
TMEM106C,transmembrane protein 106C,79022,12,0.3615,5.567,0.0004407,0.02897
DFNA5,"deafness, autosomal dominant 5",1687,7,-0.5898,3.872,0.0004788,0.03031
CEP68,centrosomal protein 68kDa,23177,2,-0.2298,4.065,0.000477,0.03031
SLC9A3R2,SLC9A3 regulator 2,9351,16,-0.3441,3.253,0.0004926,0.0306
LIMS2,LIM zinc finger domain containing 2,55679,2,-0.5083,2.452,0.0005037,0.03078
SMC2,structural maintenance of chromosomes 2,10592,9,0.3491,5.55,0.0004481,0.02907
ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10,81794,19,-0.5957,3.332,0.0005004,0.03078
KIF22,kinesin family member 22,3835,16,0.34,5.474,0.0004554,0.0294
FOXL1,forkhead box L1,2300,16,-0.7247,1.716,0.0005153,0.03127
SDHC,succinate dehydrogenase complex subunit C,6391,1,0.3469,6.061,0.0004577,0.02948
LTBP2,latent transforming growth factor beta binding protein 2,4053,14,-0.5869,7.287,0.0004376,0.02897
HIST2H3D,"histone cluster 2, H3d",653604,1,0.5437,1.939,0.0005331,0.03156
SEPHS1,selenophosphate synthetase 1,22929,10,0.2539,4.504,0.000503,0.03078
UBE2MP1,ubiquitin conjugating enzyme E2M pseudogene 1,606551,16,0.238,1.791,0.0005358,0.03156
TOP3A,topoisomerase (DNA) III alpha,7156,17,0.2258,4.409,0.0005058,0.03083
LOC728715,ovostatin homolog 2,728715,12,0.5934,-3.14,0.0003879,0.02725
C15orf59,chromosome 15 open reading frame 59,388135,15,-0.8209,-1.167,0.0004218,0.02849
DOK4,docking protein 4,55715,16,-0.3638,2.417,0.0005459,0.03187
DAPL1,death associated protein like 1,92196,2,-1.459,-1.397,0.0004077,0.02786
CCDC168,coiled-coil domain containing 168,643677,13,0.4473,0.1057,0.0004876,0.03058
DDX12P,"DEAD/H-box helicase 12, pseudogene",440081,12,0.4101,3.184,0.0005426,0.03177
MAP3K5,mitogen-activated protein kinase kinase kinase 5,4217,6,-0.3524,6.641,0.0004677,0.03005
BTBD19,BTB domain containing 19,149478,1,-0.5432,1.197,0.0005369,0.03156
GPN3,GPN-loop GTPase 3,51184,12,0.2305,4.121,0.0005272,0.03156
NEIL3,nei like DNA glycosylase 3,55247,4,0.5021,2.557,0.0005571,0.03231
NOL7,nucleolar protein 7,51406,6,0.2258,5.271,0.0005033,0.03078
LRRC75B,leucine rich repeat containing 75B,388886,22,-0.5351,-0.08133,0.0004901,0.0306
CENPJ,centromere protein J,55835,13,0.2772,6.158,0.0004858,0.03054
WDR62,WD repeat domain 62,284403,19,0.4743,5.17,0.0005105,0.03105
RAD9B,RAD9 checkpoint clamp component B,144715,12,0.4002,-0.3721,0.0004798,0.03031
PTPRG,"protein tyrosine phosphatase, receptor type G",5793,3,-0.3887,6.117,0.0004922,0.0306
SMC3,structural maintenance of chromosomes 3,9126,10,0.232,7.819,0.0004552,0.0294
CD1C,CD1c molecule,911,1,-0.8752,1.462,0.0005611,0.0324
SSH1,slingshot protein phosphatase 1,54434,12,-0.2313,6.398,0.0004902,0.0306
CDC6,cell division cycle 6,990,17,0.4578,5.119,0.0005213,0.03146
VRK1,vaccinia related kinase 1,7443,14,0.3337,6.073,0.0004996,0.03078
CPNE8,copine 8,144402,12,-0.5555,3.627,0.0005595,0.03238
PRKG1,"protein kinase, cGMP-dependent, type I",5592,10,-0.5171,3.953,0.000554,0.0322
ADGRD1,adhesion G protein-coupled receptor D1,283383,12,-0.9046,2.557,0.0005829,0.03252
POU2F1,POU class 2 homeobox 1,5451,1,0.1922,5.327,0.0005283,0.03156
MCM6,minichromosome maintenance complex component 6,4175,2,0.3058,5.699,0.0005195,0.03145
PSMD7,"proteasome 26S subunit, non-ATPase 7",5713,16,0.2354,6.62,0.000499,0.03078
C1orf112,chromosome 1 open reading frame 112,55732,1,0.3641,5.154,0.0005349,0.03156
NR1D2,nuclear receptor subfamily 1 group D member 2,9975,3,0.2731,5.762,0.000522,0.03146
ATXN1,ataxin 1,6310,6,-0.405,5.067,0.000543,0.03177
RNF157,ring finger protein 157,114804,17,0.7644,0.9826,0.0005789,0.03252
NRSN1,neurensin 1,140767,6,0.5674,-5.781,0.0006051,0.03312
SOD3,"superoxide dismutase 3, extracellular",6649,4,-0.7123,1.4,0.0005975,0.03291
FCGRT,Fc fragment of IgG receptor and transporter,2217,19,-0.3259,4.245,0.0005736,0.03252
GPR89A,G protein-coupled receptor 89A,653519,1,0.2906,0.7811,0.000583,0.03252
CLK4,CDC like kinase 4,57396,5,-0.2473,4.395,0.0005789,0.03252
EXOSC2,exosome component 2,23404,9,0.2567,4.475,0.0005773,0.03252
KNSTRN,kinetochore-localized astrin/SPAG5 binding protein,90417,15,0.3516,3.869,0.0005949,0.03291
DCAF5,DDB1 and CUL4 associated factor 5,8816,14,-0.1755,6.213,0.0005335,0.03156
BORA,"bora, aurora kinase A activator",79866,13,0.2965,4.104,0.0005888,0.03278
CENPO,centromere protein O,79172,2,0.3223,3.942,0.000595,0.03291
LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,10894,11,-0.7647,2.156,0.0006274,0.03395
DHRS1,dehydrogenase/reductase (SDR family) member 1,115817,14,-0.2913,3.775,0.0006042,0.03312
CDK1,cyclin-dependent kinase 1,983,10,0.4698,4.721,0.0005784,0.03252
CBX2,chromobox 2,84733,17,0.6189,2.799,0.0006306,0.03395
HIST1H2BJ,"histone cluster 1, H2bj",8970,6,0.4087,5.979,0.0005473,0.03189
TFDP1,transcription factor Dp-1,7027,13,0.2759,5.326,0.0005653,0.0325
TNFRSF1A,tumor necrosis factor receptor superfamily member 1A,7132,12,-0.2392,6.827,0.000533,0.03156
ZDHHC7,zinc finger DHHC-type containing 7,55625,16,-0.2266,4.998,0.0005808,0.03252
SDHAF3,succinate dehydrogenase complex assembly factor 3,57001,7,0.3261,2.264,0.0006438,0.03409
TRAIP,TRAF interacting protein,10293,3,0.3762,2.142,0.0006455,0.03409
BHMT2,betaine--homocysteine S-methyltransferase 2,23743,5,-0.8794,0.1425,0.0005824,0.03252
FAM122C,family with sequence similarity 122C,159091,X,0.2718,1.887,0.0006452,0.03409
PCDHGC5,"protocadherin gamma subfamily C, 5",56097,5,-0.4719,1.413,0.0006375,0.03409
IQGAP3,IQ motif containing GTPase activating protein 3,128239,1,0.5022,5.636,0.0005701,0.03252
DNMBP,dynamin binding protein,23268,10,-0.3985,5.996,0.0005647,0.0325
JAG1,jagged 1,182,20,-0.513,8.515,0.000503,0.03078
FUT10,"fucosyltransferase 10 (alpha (1,3) fucosyltransferase)",84750,8,-0.295,3.37,0.0006411,0.03409
ARHGEF17,Rho guanine nucleotide exchange factor 17,9828,11,-0.3224,5.551,0.0005902,0.03279
CSNK1A1,casein kinase 1 alpha 1,1452,5,-0.221,8.068,0.0005247,0.03155
LOC150051,uncharacterized LOC150051,150051,21,0.7573,-2.561,0.0004738,0.03022
SLIT3,slit guidance ligand 3,6586,5,-0.6558,6.105,0.0005776,0.03252
TOP2A,topoisomerase (DNA) II alpha,7153,17,0.4686,8.083,0.0005295,0.03156
CMC1,C-x(9)-C motif containing 1,152100,3,0.2584,2.187,0.000682,0.03495
TOPBP1,topoisomerase (DNA) II binding protein 1,11073,3,0.2603,6.625,0.0005709,0.03252
HAUS5,HAUS augmin like complex subunit 5,23354,19,0.3302,2.484,0.0006844,0.03499
CEP152,centrosomal protein 152kDa,22995,15,0.2302,6.277,0.0005806,0.03252
EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1,80820,7,-0.4261,2.873,0.0006819,0.03495
GPLD1,glycosylphosphatidylinositol specific phospholipase D1,2822,6,0.6557,2.657,0.0006894,0.03518
TRABD2B,TraB domain containing 2B,388630,1,-0.8717,0.4627,0.0006457,0.03409
FAM212A,family with sequence similarity 212 member A,389119,3,-0.5811,0.3503,0.0006376,0.03409
SNRNP25,small nuclear ribonucleoprotein U11/U12 subunit 25,79622,16,0.2787,3.175,0.0006818,0.03495
GABRA3,gamma-aminobutyric acid type A receptor alpha3 subunit,2556,X,1.313,0.8946,0.0006722,0.0347
HNMT,histamine N-methyltransferase,3176,2,-0.4444,5.084,0.0006303,0.03395
IL21,interleukin 21,59067,4,0.7918,-4.499,0.0006633,0.03451
SF3B4,splicing factor 3b subunit 4,10262,1,0.2467,4.507,0.0006482,0.03411
DIAPH3,diaphanous related formin 3,81624,13,0.4418,5.119,0.0006289,0.03395
ANLN,anillin actin binding protein,54443,7,0.4827,6.205,0.0006005,0.03301
EPB41,erythrocyte membrane protein band 4.1,2035,1,0.3607,7.421,0.0005732,0.03252
EFNB1,ephrin-B1,1947,X,-0.5467,4.453,0.0006694,0.03462
KIF14,kinesin family member 14,9928,1,0.4751,5.057,0.0006491,0.03411
KIAA0319,KIAA0319,9856,6,0.9028,-0.4779,0.000625,0.03395
SLC20A2,solute carrier family 20 member 2,6575,8,-0.3281,5.092,0.0006569,0.03439
FAM166B,family with sequence similarity 166 member B,730112,9,0.5724,-2.381,0.000531,0.03156
PDLIM5,PDZ and LIM domain 5,10611,4,-0.3116,6.786,0.0006133,0.0335
FRMD6,FERM domain containing 6,122786,14,-0.5033,5.843,0.0006461,0.03409
HNRNPM,heterogeneous nuclear ribonucleoprotein M,4670,19,0.161,7.595,0.0005962,0.03291
NA,NA,NA,NA,1.083,-4.597,0.0007119,0.0359
FOXO1,forkhead box O1,2308,13,-0.3768,4.507,0.0006946,0.03526
SNX4,sorting nexin 4,8723,3,0.2023,5.541,0.0006593,0.03444
WDR76,WD repeat domain 76,79968,15,0.3922,4.46,0.000695,0.03526
GPR89B,G protein-coupled receptor 89B,51463,1,0.2915,0.7087,0.0007175,0.03594
FBXO5,F-box protein 5,26271,6,0.3434,3.288,0.0007407,0.03649
CETN2,centrin 2,1069,X,0.2765,3.525,0.0007344,0.03647
RTTN,rotatin,25914,18,0.2622,5.496,0.0006667,0.03455
ATF6,activating transcription factor 6,22926,1,0.2372,7.219,0.0006152,0.03354
ADAMTSL2,ADAMTS like 2,9719,9,-0.5196,3.316,0.0007444,0.03649
MICA,MHC class I polypeptide-related sequence A,100507436,6,-0.3937,3.964,0.0007238,0.03609
DOCK6,dedicator of cytokinesis 6,57572,19,-0.3024,6.021,0.0006571,0.03439
UBE2C,ubiquitin conjugating enzyme E2C,11065,20,0.5153,4.358,0.000717,0.03594
CCDC3,coiled-coil domain containing 3,83643,10,-0.5353,0.7654,0.0007406,0.03649
WBP1L,WW domain binding protein 1-like,54838,10,-0.2416,3.167,0.0007612,0.03711
CENPA,centromere protein A,1058,2,0.5066,0.9852,0.0007557,0.03691
ITPKB,inositol-trisphosphate 3-kinase B,3707,1,-0.2763,4.459,0.000718,0.03594
PLEKHH2,"pleckstrin homology, MyTH4 and FERM domain containing H2",130271,2,-0.5327,5.054,0.0007025,0.03557
FANCA,Fanconi anemia complementation group A,2175,16,0.3811,6.227,0.0006646,0.03451
GLYCTK,glycerate kinase,132158,3,-0.283,4.132,0.000744,0.03649
COPS6,COP9 signalosome subunit 6,10980,7,0.2132,5.501,0.0006947,0.03526
HEYL,hes related family bHLH transcription factor with YRPW motif-like,26508,1,-0.4739,2.068,0.0008008,0.03847
RBMS3,"RNA binding motif, single stranded interacting protein 3",27303,3,-0.5166,3.71,0.0007656,0.03725
CENPM,centromere protein M,79019,22,0.4043,1.027,0.0007803,0.03776
NEIL2,nei like DNA glycosylase 2,252969,8,-0.2863,2.081,0.0008037,0.03847
LMNB1,lamin B1,4001,5,0.3787,6.018,0.0006824,0.03495
NXN,nucleoredoxin,64359,17,-0.5602,2.754,0.0008135,0.03887
GADD45A,growth arrest and DNA damage inducible alpha,1647,1,-0.3601,3.805,0.0007802,0.03776
YBX2,Y-box binding protein 2,51087,17,1.068,-1.846,0.0006263,0.03395
ADCY4,adenylate cyclase 4,196883,14,-0.4067,2.967,0.0008228,0.0391
DNAJA1,DnaJ heat shock protein family (Hsp40) member A1,3301,9,0.2693,7.516,0.0006611,0.03447
LRCH1,leucine-rich repeats and calponin homology (CH) domain containing 1,23143,13,-0.2442,5.387,0.0007423,0.03649
SEC22A,"SEC22 homolog A, vesicle trafficking protein",26984,3,0.1674,4.262,0.0007898,0.03815
ITIH2,inter-alpha-trypsin inhibitor heavy chain 2,3698,10,-1.417,-2.922,0.0006416,0.03409
SWI5,SWI5 homologous recombination repair protein,375757,9,0.2481,2.721,0.0008513,0.03994
CCL24,C-C motif chemokine ligand 24,6369,7,-0.9916,-2.264,0.0006329,0.03401
FAM111B,family with sequence similarity 111 member B,374393,11,0.5354,3.48,0.0008282,0.03914
KCTD21,potassium channel tetramerization domain containing 21,283219,11,-0.2582,2.418,0.0008603,0.04008
ZNF516,zinc finger protein 516,9658,18,-0.401,3.482,0.0008329,0.03929
PCDH11X,protocadherin 11 X-linked,27328,X,1.085,-0.727,0.0007357,0.03647
TMEM106B,transmembrane protein 106B,54664,7,0.2175,5.261,0.0007685,0.03733
TDRKH,tudor and KH domain containing,11022,1,0.4667,3.17,0.0008541,0.04
NDST1,N-deacetylase/N-sulfotransferase 1,3340,5,-0.2645,6.562,0.0007236,0.03609
NDUFAF6,NADH:ubiquinone oxidoreductase complex assembly factor 6,137682,8,0.2739,4.528,0.0008029,0.03847
AIM1,absent in melanoma 1,202,6,-0.4376,7.303,0.0007098,0.03587
UGT1A10,UDP glucuronosyltransferase family 1 member A10,54575,2,-1.719,4.887,0.0007976,0.03839
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125,4,-1.27,3.503,0.0008675,0.04035
ARHGAP11B,Rho GTPase activating protein 11B,89839,15,0.3735,3.099,0.0008835,0.04094
POP4,"POP4 homolog, ribonuclease P/MRP subunit",10775,19,0.2596,3.17,0.0008858,0.04098
RPA1,replication protein A1,6117,17,0.2375,6.413,0.0007557,0.03691
FAXDC2,fatty acid hydroxylase domain containing 2,10826,5,-0.5005,1.54,0.0009059,0.04157
PHLDB2,pleckstrin homology like domain family B member 2,90102,3,-0.4834,6.938,0.0007443,0.03649
RRN3,"RRN3 homolog, RNA polymerase I transcription factor",54700,16,0.1931,5.034,0.0008189,0.03898
HIST1H2BD,"histone cluster 1, H2bd",3017,6,0.3383,7.525,0.0007257,0.03611
MAOB,monoamine oxidase B,4129,X,-0.7833,1.845,0.0009261,0.04181
TPST2,tyrosylprotein sulfotransferase 2,8459,22,-0.3191,1.933,0.0009278,0.04182
AURKA,aurora kinase A,6790,20,0.4098,5.632,0.0007978,0.03839
LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated",25804,19,0.2619,2.904,0.0009222,0.04178
PCNX1,pecanex homolog 1 (Drosophila),22990,14,-0.2157,8.114,0.0007156,0.03594
THAP9,THAP domain containing 9,79725,4,0.2173,2.998,0.0009208,0.04178
LSM3,"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated",27258,3,0.3102,5.116,0.0008278,0.03914
CDT1,chromatin licensing and DNA replication factor 1,81620,16,0.4587,2.536,0.0009365,0.04194
ABCA9,ATP binding cassette subfamily A member 9,10350,17,-0.7938,4.138,0.000876,0.04067
CLSPN,claspin,63967,1,0.4607,5.268,0.0008248,0.03912
ITGAE,integrin subunit alpha E,3682,17,0.4039,2.982,0.0009296,0.04183
RAD18,"RAD18, E3 ubiquitin protein ligase",56852,3,0.2897,3.911,0.0008928,0.04123
CCDC137,coiled-coil domain containing 137,339230,17,0.233,3.294,0.0009216,0.04178
FAM122B,family with sequence similarity 122B,159090,X,0.223,5.751,0.0008174,0.03898
PHLDB1,pleckstrin homology like domain family B member 1,23187,11,-0.4329,5.567,0.0008363,0.03938
UBTD1,ubiquitin domain containing 1,80019,10,-0.3749,1.144,0.0009572,0.04256
